Project,Package,Class,Method,Smell,Description,File
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testContainsInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testContainsRange,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testElementCompareTo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testEqualsObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testFit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testFit,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.Range.getMinimum; org.apache.commons.lang3.Range.getMaximum; org.apache.commons.lang3.IntegerRange.fit,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testIntersectionWith,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testIsAfter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testIsAfterRange,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testIsBefore,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testIsBeforeIntegerRange,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testIsBeforeRange,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testIsEndedBy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
commons-lang,org.apache.commons.lang3,IntegerRangeTest,testIsOverlappedByIntegerRange,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java
