Project,Package,Class,Method,Smell,Description,File
gson,com.google.gson.metrics,PerformanceTest,testDummy,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testDummy,Empty test,The tool detected the smell in this test method because the test is empty.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testStringDeserialization,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testStringDeserialization,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testLargeCollectionSerialization,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testLargeCollectionSerialization,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testLargeCollectionDeserialization,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testByteArraySerialization,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testByteArraySerialization,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest,testByteArrayDeserialization,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
