Project,Package,Class,Method,Smell,Description,Method start line no,File
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,format,Long Parameter List,The method has 6 parameters. ,40,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/eclipse_plugin/src/com/google/googlejavaformat/java/JavaFormatterBase.java
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,format,Long Parameter List,The method has 5 parameters. ,47,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/eclipse_plugin/src/com/google/googlejavaformat/java/JavaFormatterBase.java
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,createIndentationString,Long Statement,The length of the statement "Preconditions.checkArgument(indentationLevel >= 0`"Indentation level cannot be less than zero. Given: %s"`indentationLevel);" is 124.,53,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/eclipse_plugin/src/com/google/googlejavaformat/java/JavaFormatterBase.java
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,formatInternal,Long Statement,The length of the statement "List<Replacement> replacements=new SnippetFormatter(formatterOptions).format(snippetKind`source`rangesFromRegions(regions)`initialIndent`includeComments);" is 154.,67,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/eclipse_plugin/src/com/google/googlejavaformat/java/JavaFormatterBase.java
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,editFromReplacements,Long Statement,The length of the statement "edit.addChild(new ReplaceEdit(replaceRange.lowerEndpoint()`replaceRange.upperEndpoint() - replaceRange.lowerEndpoint()`replacement.getReplacementString()));" is 156.,138,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/eclipse_plugin/src/com/google/googlejavaformat/java/JavaFormatterBase.java
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,typeAnnotations,Long Statement,The length of the statement "for ( String annotation : ImmutableList.of("org.jspecify.annotations.NonNull"`"org.jspecify.annotations.Nullable"`"org.jspecify.annotations.Nullable"`"org.checkerframework.checker.nullness.qual.NonNull"`"org.checkerframework.checker.nullness.qual.Nullable")) {" is 260.,298,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,JavaInputAstVisitor,Magic Number,The method contains a magic number: 2,345,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,JavaInputAstVisitor,Magic Number,The method contains a magic number: 4,345,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,JavaInputAstVisitor,Magic Number,The method contains a magic number: 2,345,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,JavaInputAstVisitor,Magic Number,The method contains a magic number: 4,345,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
