Project,Package,Class,Method,Smell,Description,Method start line no,File
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinA,Long Parameter List,The method has 6 parameters. ,176,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinArray,Long Parameter List,The method has 6 parameters. ,183,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinI,Long Parameter List,The method has 6 parameters. ,199,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinIterable,Long Parameter List,The method has 6 parameters. ,210,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinSB,Long Parameter List,The method has 6 parameters. ,227,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreadById,Complex Conditional,The conditional expression thread != null && thread.getThreadGroup() != null && thread.getThreadGroup().getName().equals(threadGroupName) is complex.,193,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreadGroups,Long Statement,The length of the statement "return Collections.unmodifiableCollection(Stream.of(threadGroups).limit(count).filter(predicate).collect(Collectors.toList()));" is 127.,249,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreadGroups,Magic Number,The method contains a magic number: 2,249,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreads,Long Statement,The length of the statement "return Collections.unmodifiableCollection(Stream.of(threads).limit(count).filter(predicate).collect(Collectors.toList()));" is 122.,332,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreads,Magic Number,The method contains a magic number: 2,332,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreadsByName,Long Statement,The length of the statement "return Collections.unmodifiableCollection(findThreadGroups(predicateThreadGroup(threadGroupName)).stream().flatMap(group -> findThreads(group`false`predicateThread(threadName)).stream()).collect(Collectors.toList()));" is 217.,400,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getAbbreviatedName,Complex Method,Cyclomatic complexity of the method is 8,255,/data/henrique/multiagent_refactoring/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
